aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;1;1
;2;1;2
;3;1;2
;4;1;2
;5;1;1
;6;1;2
;7;2;1
;8;1;1
;9;1;2
;10;2;1
;11;1;2
;12;1;1
;13;1;1
;14;1;2
;15;1;2
;16;2;2
;17;1;1
;18;1;1
;19;2;2
;20;1;1
;21;1;2
;22;1;2
;23;1;1
;24;2;2
;25;1;2
;26;1;1
;27;1;1
;28;1;1
;29;1;1
;30;1;2
;31;1;1
;32;1;1
;33;2;2
;34;1;2
;35;1;1
;36;1;1
;37;2;2
;38;1;2
;39;1;1
;40;1;1
;41;1;1
;42;2;1
;43;2;2
;44;1;2
;45;1;1
;46;1;2
;47;1;2
;48;1;2
;49;1;1
;50;1;1
;51;2;1
;52;1;2
;53;1;1
;54;1;2
;55;1;2
;56;2;1
;57;1;2
;58;1;1
;59;2;2
;60;2;1
;61;1;2
;62;1;1
;63;2;1
;64;1;1
;65;2;1
;66;1;1
;67;1;2
;68;2;2
;69;1;1
;70;1;1
;71;1;1
;72;1;1
;73;1;1
;74;1;1
;75;1;2
;76;2;2
;77;1;2
;78;1;1
;79;1;2
;80;1;2
;81;2;1
;82;2;2
;83;2;1
;84;1;1
;85;1;1
;86;1;1
;87;1;1
;88;1;2
;89;1;1
;90;2;2
;91;1;1
;92;2;2
;93;2;1
;94;1;1
;95;1;2
;96;1;2
;97;2;1
;98;2;2
;99;1;2
;100;2;1
;101;1;2
;102;1;2
;103;1;2
;104;1;1
;105;2;1
;106;1;1
;107;1;2
;108;1;2
;109;1;1
;110;2;2
;111;1;1
;112;1;2
;113;1;1
;114;1;1
;115;1;1
;116;1;2
;117;1;1
;118;1;2
;119;1;1
;120;2;2
;121;1;1
;122;2;1
;123;1;1
;124;1;2
;125;1;1
;126;2;2
;127;1;2
;128;2;1
;129;1;2
;130;1;1
;131;1;1
;132;1;1
;133;2;1
;134;2;1
;135;1;1
;136;1;2
;137;1;1
;138;2;1
;139;2;2
;140;2;1
