aes-ecb-128;Round Number; Encryption Duration; Decryption Duration
;1;2;2
;2;1;2
;3;2;2
;4;2;2
;5;2;2
;6;1;1
;7;2;1
;8;2;1
;9;1;2
;10;1;1
;11;1;1
;12;2;1
;13;1;2
;14;2;1
;15;1;2
;16;1;1
;17;1;2
;18;1;2
;19;1;1
;20;2;1
;21;1;2
;22;1;1
;23;1;2
;24;2;1
;25;1;1
;26;1;2
;27;1;1
;28;1;2
;29;2;2
;30;2;1
;31;1;2
;32;1;2
;33;1;2
;34;2;2
;35;1;2
;36;1;1
;37;2;2
;38;1;2
;39;2;2
;40;1;2
;41;2;1
;42;1;1
;43;1;1
;44;2;1
;45;1;1
;46;1;1
;47;1;2
;48;1;1
;49;1;1
;50;1;2
;51;2;2
;52;1;2
;53;1;2
;54;1;1
;55;1;2
;56;1;2
;57;1;1
;58;1;1
;59;1;1
;60;1;1
;61;1;1
;62;1;1
;63;1;1
;64;2;2
;65;2;1
;66;1;1
;67;1;1
;68;1;2
;69;1;2
;70;1;2
;71;1;2
;72;2;2
;73;1;2
;74;2;1
;75;2;2
;76;2;1
;77;1;2
;78;1;2
;79;2;1
;80;1;1
;81;1;1
;82;2;2
;83;1;1
;84;2;2
;85;1;2
;86;1;2
;87;1;2
;88;2;2
;89;1;2
;90;2;2
;91;1;2
;92;2;1
;93;1;1
;94;2;1
;95;2;2
;96;2;1
;97;1;1
;98;1;2
;99;1;1
;100;1;2
