RIOT native interrupts/signals initialized.
RIOT native board initialized.
RIOT native hardware initialization complete.

main(): This is RIOT! (Version: 2023.01-devel-391-gf43eb-main)
Mode: ELECTRONIC CODEBOOK - 128 Bit, # of rounds: 1000
;Round;Encrypt(ms);Decrypt(ms)
;1;1;0
;2;0;1
;3;1;0
;4;0;1
;5;0;1
;6;0;1
;7;1;0
;8;1;0
;9;1;1
;10;0;1
;11;1;0
;12;0;0
;13;1;0
;14;1;0
;15;1;0
;16;1;1
;17;0;1
;18;0;1
;19;1;0
;20;1;0
;21;0;1
;22;1;0
;23;0;1
;24;0;1
;25;1;0
;26;0;1
;27;0;0
;28;0;1
;29;1;0
;30;1;0
;31;1;0
;32;1;0
;33;0;0
;34;0;1
;35;0;1
;36;1;0
;37;0;1
;38;1;0
;39;0;0
;40;1;0
;41;0;1
;42;1;0
;43;1;0
;44;1;0
;45;0;1
;46;1;0
;47;0;0
;48;0;1
;49;1;0
;50;0;1
;51;1;0
;52;1;0
;53;0;0
;54;0;1
;55;0;1
;56;1;0
;57;0;1
;58;1;0
;59;1;1
;60;0;1
;61;0;1
;62;0;0
;63;0;0
;64;1;0
;65;1;0
;66;0;1
;67;1;0
;68;1;0
;69;0;1
;70;1;0
;71;1;0
;72;0;1
;73;1;0
;74;0;1
;75;1;0
;76;0;1
;77;0;1
;78;1;0
;79;1;0
;80;1;0
;81;0;1
;82;0;1
;83;1;0
;84;0;1
;85;0;1
;86;1;0
;87;1;0
;88;0;1
;89;1;0
;90;1;0
;91;0;1
;92;0;1
;93;1;0
;94;0;0
;95;1;0
;96;1;0
;97;0;1
;98;0;1
;99;0;1
;100;0;1
;101;0;0
;102;1;0
;103;1;0
;104;0;0
;105;0;1
;106;1;0
;107;1;0
;108;0;1
;109;0;0
;110;1;0
;111;0;0
;112;0;1
;113;0;0
;114;0;1
;115;0;0
;116;0;1
;117;1;0
;118;1;0
;119;0;1
;120;0;1
;121;0;1
;122;0;0
;123;1;0
;124;1;0
;125;0;0
;126;1;0
;127;0;1
;128;1;0
;129;0;1
;130;0;0
;131;1;0
;132;1;0
;133;1;0
;134;0;1
;135;0;0
;136;0;1
;137;0;1
;138;1;0
;139;0;1
;140;0;1
;141;1;0
;142;1;0
;143;0;0
;144;0;1
;145;0;1
;146;0;0
;147;0;1
;148;1;0
;149;1;0
;150;1;0
;151;0;1
;152;0;0
;153;1;0
;154;0;1
;155;1;0
;156;0;0
;157;0;1
;158;1;0
;159;0;0
;160;0;1
;161;0;1
;162;1;0
;163;0;1
;164;0;1
;165;0;1
;166;0;1
;167;0;0
;168;1;0
;169;0;1
;170;1;0
;171;1;0
;172;1;0
;173;0;0
;174;0;0
;175;0;1
;176;0;0
;177;0;1
;178;0;0
;179;1;0
;180;0;1
;181;1;0
;182;0;0
;183;1;0
;184;0;1
;185;0;0
;186;0;1
;187;1;0
;188;1;0
;189;0;1
;190;1;0
;191;0;0
;192;0;0
;193;1;0
;194;0;1
;195;0;0
;196;1;0
;197;0;1
;198;0;1
;199;1;0
;200;1;0
;201;1;0
;202;0;0
;203;1;0
;204;1;0
;205;0;0
;206;0;0
;207;0;0
;208;1;0
;209;0;0
;210;0;1
;211;1;0
;212;0;1
;213;1;0
;214;0;0
;215;0;1
;216;1;0
;217;0;1
;218;0;0
;219;1;0
;220;0;1
;221;1;0
;222;0;1
;223;1;0
;224;0;0
;225;0;1
;226;0;1
;227;0;1
;228;0;0
;229;0;1
;230;0;1
;231;0;0
;232;0;0
;233;0;1
;234;0;1
;235;0;0
;236;0;0
;237;0;1
;238;0;1
;239;1;0
;240;1;0
;241;0;1
;242;0;1
;243;0;0
;244;1;0
;245;1;0
;246;0;0
;247;1;0
;248;0;1
;249;1;0
;250;0;0
;251;0;0
;252;0;0
;253;1;0
;254;1;0
;255;0;0
;256;0;0
;257;0;0
;258;0;0
;259;0;1
;260;0;0
;261;1;0
;262;0;1
;263;0;1
;264;0;1
;265;0;0
;266;0;0
;267;1;0
;268;0;0
;269;1;0
;270;0;1
;271;1;0
;272;1;0
;273;0;1
;274;0;1
;275;0;1
;276;1;0
